Dimension,Sequential Thinking (Western),Holistic Thinking (Indigenous)
Philosophical Foundation,"Cartesian dualism, reductionism","Relational ontology, wholeness"
Reasoning Pattern,"Linear, step-by-step progression","Circular/spiral, recursive"
Problem Approach,Decompose into smaller parts,Honor whole while attending parts
Time Orientation,Past → Present → Future (arrow),"Cyclical, all times present"
Knowledge Structure,"Hierarchical, taxonomic",Web of relationships
Decision Making,Optimize through iteration,Wisdom through balance
Error Correction,Backtrack and revise,"Return to center, re-harmonize"
Context Handling,Context as separate parameter,Context IS the knowledge
Relationship to Whole,Part contributes to whole,Whole contains all parts
Primary Metaphor,Tree/branching paths,Medicine Wheel/Circle
Progress Model,Accumulation toward goal,Deepening spiral toward center
Validation Method,"Logical proof, empirical test","Experiential wisdom, ceremony"
Consciousness Model,"Computational, mechanistic","Relational, animate"
Cultural Origin,Western Enlightenment tradition,Indigenous knowledge systems globally
Purpose Orientation,Problem-solving,Creating/manifesting
Beauty/Aesthetics Role,Optional aesthetic consideration,Beauty as structural dynamic
Memory Architecture,"Version control, linear history","Sacred container, consciousness continuity"
Directional Awareness,Not inherent to model,Central organizing principle (4 directions)
Sacred/Ceremonial Integration,Not primary concern,Ceremony is integral
Source Attribution,Citation for credibility,"Relational accountability, sovereignty"
